ID,Name,N,E
103,Именьковское I местонахождение,55.427561111000045,49.705241667000053
104,Именьковское II местонахождение,55.435888889000069,49.718113889000051
105,Именьковское I селище,55.434777778000068,49.698463889000038
106,Именьковское II городище,55.417836111000042,49.733872222000059
107,Полянкинское селище,55.388350000000059,49.786611111000070
108,Шуранское селище,55.361227778000057,49.841300000000047
109,Гремячеключинское селище,55.361083333000067,49.842480556000055
110,Троицко-Урайское I (Широкая Гора) городище,55.463330556000074,50.206163889000038
111,Троицко-Урайское I селище,55.464841667000030,50.205888889000050
112,Троицко-Урайское II городище,55.463372222000032,50.207944444000077
113,Селище на месте городища Черепашье,55.466497222000044,50.763261111000077
114,Тарасова Пристань городище,55.492725000000064,50.811430556000062
115,Секинесьское I городище,55.511222222000072,51.336166667000043
116,Мамадышское селище,55.717522222000071,51.396116667000058
117,Малиновка I селище,54.581308333000038,48.904527778000045
118,Малиновка III селище,54.557608333000076,48.913933333000045
119,Старая Майна I селище,54.629472222000061,48.930666667000025
120,Старая Майна II селище,54.631258333000062,48.932469444000048
121,Старая Майна III селище,54.633469444000070,48.932986111000048
122,Старая Майна IV селище,54.636636111000030,48.931869444000029
123,Старая Майна V селище,54.608566667000048,48.963163889000043
124,Грязнухинское I селище,54.655288889000076,48.951863889000037
125,Грязнуха II селище,54.652202778000060,48.935144444000059
126,Грязнуха III селище,54.683613889000071,48.970486111000071
127,Грязнуха IV селище,54.698947222000072,48.981633333000048
128,Танкеевское I селище,54.822497222000038,49.108602778000034
129,Танкеевское II селище,54.828380556000070,49.104827778000072
130,Маклашеевское II городище,54.814661111000078,49.038977778000060
131,Маклашеевское I селище,54.819586111000035,49.028880556000047
132,Маклашеевское II селище,54.819247222000058,49.034250000000043
133,Маклашеевское III селище,54.817786111000032,49.037941667000041
134,Маклашеевское IV селище,54.817355556000052,49.042636111000036
135,Балымерское городище Шолом,54.850622222000027,48.960208333000026
136,Балымерское I селище,54.852050000000077,48.958497222000062
137,Балымерское II селище,54.849425000000053,48.961983333000035
138,Балымерское III селище,54.848061111000050,48.963497222000058
