"IDPubRecord","IDPublication","PageNumber","IDMonument","Active"
"482","{0000001E-0000-0000-0000-000000000000}","119","856","true"
"483","{00000025-0000-0000-0000-000000000000}","168","856","true"
"484","{0000000F-0000-0000-0000-000000000000}","40","857","true"
"485","{0000000F-0000-0000-0000-000000000000}","38","858","true"
"486","{00000024-0000-0000-0000-000000000000}","71","858","true"
"487","{00000004-0000-0000-0000-000000000000}","58","859","true"
"488","{00000006-0000-0000-0000-000000000000}","46","859","true"
"489","{0000000F-0000-0000-0000-000000000000}","35","859","true"
"490","{F8A06F1F-F288-40F3-AADC-31CA7120A62A}","372","860","true"
"491","{00000024-0000-0000-0000-000000000000}","68","861","true"
"492","{A93E72DC-C9E4-4351-8B1F-DADA02449AD1}","98","861","true"
"493","{0000002E-0000-0000-0000-000000000000}","40-41","861","true"
"494","{00000032-0000-0000-0000-000000000000}","108","861","true"
"495","{B8A6906B-F8C1-4AE8-9EEF-ED9FB457264D}","57","861","true"
"496","{FAC9C8DA-9CF1-4B50-B672-1E4A49AB1E68}","52","789","true"
"497","{FAC9C8DA-9CF1-4B50-B672-1E4A49AB1E68}","52","861","true"
"498","{B8A6906B-F8C1-4AE8-9EEF-ED9FB457264D}","57","862","true"
"499","{0000000F-0000-0000-0000-000000000000}","38","863","true"
"105","{CD3A43C8-82F8-48EA-BC41-36E04C5868EB}",,"663","true"
"106","{0000000F-0000-0000-0000-000000000000}","39","664","true"
"107","{00000025-0000-0000-0000-000000000000}","74","664","true"
"108","{00000027-0000-0000-0000-000000000000}","15","664","true"
"109","{00000027-0000-0000-0000-000000000000}","15","665","true"
"110","{00000027-0000-0000-0000-000000000000}","59","666","true"
"111","{0000000F-0000-0000-0000-000000000000}","39","666","true"
"112","{00000030-0000-0000-0000-000000000000}","362","668","true"
"113","{00000030-0000-0000-0000-000000000000}","362","669","true"
"114","{00000021-0000-0000-0000-000000000000}","67-68","670","true"
"115","{00000021-0000-0000-0000-000000000000}","68","671","true"
"116","{00000004-0000-0000-0000-000000000000}","58","672","true"
"118","{00000006-0000-0000-0000-000000000000}","46","672","true"
"119","{00000024-0000-0000-0000-000000000000}","76","672","true"
"120","{0000000F-0000-0000-0000-000000000000}","39","672","true"
"123","{00000029-0000-0000-0000-000000000000}","11","673","true"
"124","{0000000F-0000-0000-0000-000000000000}","34","674","true"
"125","{00000021-0000-0000-0000-000000000000}","30","674","true"
"126","{00000025-0000-0000-0000-000000000000}","91","674","true"
"127","{00000021-0000-0000-0000-000000000000}","30","675","true"
