name,addr,dat,y,x,status,id
Стоянка Куйбышевская 1-я,"Республика Татарстан, Спасский район",не определена,49.360442,55.045306,2,155
Стоянка Куйбышевская 2-я,"Республика Татарстан, Спасский район",не определена,49.384083,55.048942,2,156
Щербетское городище,"Республика Татарстан, Спасский район",не определена,49.279392,55.008003,2,157
Б. Тархановское селище 3-е ,"Республика Татарстан, Тетюшский район",не определена,48.546739,54.687392,2,158
Б. Тархановское селище I ,"Республика Татарстан, Тетюшский район",не определена,48.528753,54.69885,2,159
Б. Тархановское селище II ,"Республика Татарстан, Тетюшский район",не определена,48.517553,54.695056,2,160
Б. Шемякинский надгробный памятник ,"Республика Татарстан, Тетюшский район",не определена,48.610847,55.039067,2,161
Богдашкинское городище,"Республика Татарстан, Тетюшский район",не определена,48.735356,54.821878,2,162
Больше-Тарханский могильник ,"Республика Татарстан, Тетюшский район",XIII-IX вв. ,48.541483,54.708556,2,163
Бурцевское селище,"Республика Татарстан, Тетюшский район",не определена,48.391669,54.759931,2,164
Городище 'Хулаш',"Республика Татарстан, Тетюшский район",X-XIII вв. ,48.471969,54.836528,2,165
Кильненское селище N 2,"Республика Татарстан, Тетюшский район",не определена,48.462353,54.823711,2,166
Кильненское селище N 3 ,"Республика Татарстан, Тетюшский район",не определена,48.452267,54.824378,2,167
Кильненское селище N 4 ,"Республика Татарстан, Тетюшский район",не определена,48.436775,54.816814,2,168
Кильненское селище N 5 ,"Республика Татарстан, Тетюшский район",не определена,48.419953,54.802469,2,169
Кильненское селище N 6 ,"Республика Татарстан, Тетюшский район",не определена,48.453283,54.821986,2,170
Кильненское селище N I ,"Республика Татарстан, Тетюшский район",не определена,48.455428,54.829525,2,171
Кладбище с. Красные Поляны,"Республика Татарстан, Тетюшский район",не определена,48.814175,54.991864,2,172
Льяшевское городище,"Республика Татарстан, Тетюшский район",не определена,48.697103,55.019742,2,173
Льяшевское селище I ,"Республика Татарстан, Мензелинский район",не определена,53.381775,55.713222,2,174
Льяшевское селище II ,"Республика Татарстан, Мензелинский район",не определена,53.392675,55.716267,2,175
Любимовское селище I,"Республика Татарстан, Тетюшский район",не определена,48.760472,54.969694,2,176
Любимовское селище II,"Республика Татарстан, Тетюшский район",не определена,48.763392,54.971817,2,177
Мантовское селище,"Республика Татарстан, Тетюшский район",не определена,48.659903,54.628375,2,178
Первое Тетюшское городище ,"Республика Татарстан, Тетюшский район",не определена,48.845189,54.942186,2,179
Тат. Черепановское селище ,"Республика Татарстан, Тетюшский район",не определена,48.417289,54.79945,2,180
Тетюшский могильник ,"Республика Татарстан, Тетюшский район",не определена,48.840878,54.961603,2,181
Тетюшское 2-е городище ,"Республика Татарстан, Тетюшский район",не определена,48.845336,54.943353,2,182
Урочище 'Красная Глинка',"Республика Татарстан,   район",не определена,48.519922,54.634172,2,183
Урюмское кладбище,"Республика Татарстан, Тетюшский район",не определена,48.790847,54.759689,2,184
2 Б. Нырсинское кладбище ,"Республика Татарстан, Тюлячинский район",не определена,50.295306,55.726044,2,185
Б. Нырсинское селище ,"Республика Татарстан, Тюлячинский район",не определена,50.3008,55.729633,2,186
Больше-Кибя-Козинское древнее кладбище ,"Республика Татарстан, Казань район",не определена,49.118172,55.795033,2,187
Больше-Нырсинский камень,"Республика Татарстан, Тюлячинский район",не определена,50.29655,55.725631,2,188
Верхне-Кибя-Козинский памятник,"Республика Татарстан, Тюлячинский район",не определена,50.162453,55.9736,2,189
Кибя-Козинское древнее кладбище,"Республика Татарстан, Тюлячинский район",не определена,50.175297,55.975244,2,190
Старо-Зюгринский надгробный памятник ,"Республика Татарстан, Тюлячинский район",не определена,50.353036,55.876594,2,191
Старо-Зюринский надгробный памятник ,"Республика Татарстан, Тюлячинский район",не определена,50.353036,55.876594,2,192
Тямти-Метескинское кладбище,"Республика Татарстан, Тюлячинский район",не определена,50.126869,55.883292,2,193
Тямтинский надгробный памятник,"Республика Татарстан, Тюлячинский район",не определена,50.415928,55.743561,2,194
Тямтинское селище,"Республика Татарстан, Тюлячинский район",не определена,50.412408,55.74665,2,195
Шадкинские надгробные памятники,"Республика Татарстан, Тюлячинский район",не определена,50.194033,55.719689,2,196
Жукотинское городище,"Республика Татарстан, Чистопольский район",XII-XIV вв.,50.555681,55.376586,2,197
Змеевское городище ,"Республика Татарстан, Чистопольский район",не определена,50.739939,55.393589,2,198
Изгарское городище,"Республика Татарстан, Чистопольский район",не определена,50.768561,55.176725,2,199
Нарат-Елгинское городище ,"Республика Татарстан, Чистопольский район",не определена,50.538919,55.257461,2,200
Ромашкинское городище ,"Республика Татарстан, Чистопольский район",не определена,50.863239,55.250478,2,201
